Name,Price,Veg/nonVeg
Mushroom Roll-With Cheese ,130,veg
Chicken Roll-Without Cheese ,120,non-veg
Chicken Roll-With Cheese ,150,non-veg
Egg Roll -Without Cheese ,30,non-veg
Egg Roll -With Cheese ,120,non-veg
Veg Manchurian + Rice/Noodles,190,veg
Chilli Paneer + Rice/Noodles,220,veg
Chilli Chicken + Rice/Noodles,250,non-veg
Banana Toffee with Icecream-2 pcs,100,veg
Apple Toffee with Icecream-2 pcs,110,veg
Pineapple Toffee with Ice-Cream-2 pcs,130,veg
Mango Shake,80,veg
Oreo Shake,80,veg
Kitkat Shake,80,veg
Cold Coffee,50,veg
Straw Berry Shake,80,veg
Banana Shake ,80,veg
Butterscotch Shake,80,veg
Paan Shake,100,veg
Kaala Khatta Mojito,100,veg
Virgin Mojito,80,veg
Green Apple Mojito,80,veg
Water Melon Mojito,80,veg
Orange Rasna,50,veg
Ice Tea,80,veg
Blue lagoon,80,veg
Grenadine,80,veg
Castles Special,120,veg
Soda Shikanji,40,veg
Masala Coldrink,35,veg
